Name,License_No,Area,Police_Station,Address,Gun_Type,Weapon_Model,Issue_Date,Expiry_Date,Status,Mobile,Gender,DOB,Remarks
Deepak Joshi,MP-BPL-2018-255592,Bagsewaniya,Bagsewaniya Police Station,"755/831, Saraswati Ganj, Bagsewaniya, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2018-04-21,2028-04-18,Active,+916070455948,Male,1984-10-09,
Pooja Maheshwari,MP-BPL-2012-623676,TT Nagar,TT Nagar Police Station,"971, Shanti Path, TT Nagar, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2012-03-20,2022-03-18,Submitted,+918474929751,Female,1996-08-05,Due to election
Kapil Singh,MP-BPL-2012-338998,Berasia,Berasia Police Station,"308/684, Kranti Marg, Berasia, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2020-08-27,2030-08-25,Active,6948377402,Male,1989-08-17,
Sumit Maheshwari,MP-BPL-2019-719196,Jahangirabad,Jahangirabad Police Station,"558/445, Shakti Circle, Jahangirabad, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2020-01-23,2030-01-20,Active,+919965613087,Male,1988-06-23,
Ankit Sethi,MP-BPL-2022-848141,BHEL,BHEL Police Station,"271/573, Mukti Marg, BHEL, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2021-01-08,2031-01-06,Active,6570237718,Male,1978-11-05,
Sangeeta Agrawal,MP-BPL-2020-396206,Chhola Road,Chhola Road Police Station,"727/888, Vivekananda Street, Chhola Road, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2019-09-17,2029-09-14,Active,9230397440,Female,2002-02-12,
Priya Mishra,MP-BPL-2015-644830,Arera Colony,Arera Colony Police Station,"H.No. 269, Vivekananda Zila, Arera Colony, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2017-08-08,2027-08-06,Active,+916827681722,Female,1990-12-15,
Mallika Bansal,MP-BPL-2011-414767,Bawadiya Kalan,Bawadiya Kalan Police Station,"194/372, Shakti Street, Bawadiya Kalan, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2019-09-22,2029-09-19,Active,6244029363,Female,1998-05-11,
Vipul Jain,MP-BPL-2022-683397,Ayodhya Nagar,Ayodhya Nagar Police Station,"H.No. 980/338, Shakti Path, Ayodhya Nagar, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2022-03-04,2032-03-01,Revoked,8604945198,Male,1977-01-14,Due to festival
Arjun Mehta,MP-BPL-2021-736166,Roshanpura,Roshanpura Police Station,"230, Bhakti Nagar, Roshanpura, Bhopal, Madhya Pradesh",Air Gun,.32 Bore Pistol,2020-11-18,2030-11-16,Active,9497035067,Male,1953-09-13,
Rohit Chopra,MP-BPL-2010-964749,Vidya Nagar,Vidya Nagar Police Station,"991/765, Shanti Ganj, Vidya Nagar, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2016-02-03,2026-01-31,Active,7368516048,Male,2002-12-10,
Sumit Gupta,MP-BPL-2019-243299,BHEL,BHEL Police Station,"H.No. 187, Subhash Nagar, BHEL, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2015-09-02,2025-08-30,Active,6693328442,Male,1958-08-30,
Rekha Singh,MP-BPL-2010-680210,Arera Colony,Arera Colony Police Station,"887, Tilak Marg, Arera Colony, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2013-01-07,2023-01-05,Expired,+916003056619,Female,1954-02-10,
Mallika Bansal,MP-BPL-2010-190181,Piplani,Piplani Police Station,"147/202, Udyan Path, Piplani, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2017-04-19,2027-04-17,Active,+917075366614,Female,1973-07-03,
Swati Yadav,MP-BPL-2021-158444,Bawadiya Kalan,Bawadiya Kalan Police Station,"507/387, Pragati Path, Bawadiya Kalan, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2013-06-09,2023-06-07,Expired,8500902559,Female,2003-02-07,Due to order
Akhil Singhal,MP-BPL-2025-532373,BHEL,BHEL Police Station,"441/332, Pragati Road, BHEL, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2025-05-04,2035-05-02,Submitted,+917684577600,Male,1964-10-31,Due to order
Mitu Mehra,MP-BPL-2023-662309,MP Nagar,MP Nagar Police Station,"H.No. 877/112, Subhash Chowk, MP Nagar, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2020-12-30,2030-12-28,Active,6873280771,Female,1951-05-08,
Sudha Kapoor,MP-BPL-2024-933551,Bawadiya Kalan,Bawadiya Kalan Police Station,"383/471, Safalta Chowk, Bawadiya Kalan, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2024-05-04,2034-05-02,Revoked,7410166687,Female,1990-08-18,Due to election
Vinod Yadav,MP-BPL-2018-246728,Govindpura,Govindpura Police Station,"198/311, Shakti Nagar, Govindpura, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2019-03-03,2029-02-28,Active,6867233104,Male,1974-10-24,
Priya Khanna,MP-BPL-2017-130777,Vidya Nagar,Vidya Nagar Police Station,"659/823, Prakash Circle, Vidya Nagar, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2020-03-06,2030-03-04,Active,7732012953,Female,1966-07-16,
Arun Khandelwal,MP-BPL-2018-902097,Katara Hills,Katara Hills Police Station,"H.No. 997, Mukti Nagar, Katara Hills, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2017-10-09,2027-10-07,Active,7691163319,Male,2001-04-08,
Naresh Sachdeva,MP-BPL-2021-864273,Saket Nagar,Saket Nagar Police Station,"502, Tilak Path, Saket Nagar, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2021-10-25,2031-10-23,Submitted,7809241150,Male,1995-01-09,Due to festival
Manoj Jain,MP-BPL-2013-893616,New Market,New Market Police Station,"H.No. 995/964, Saraswati Zila, New Market, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2018-04-20,2028-04-17,Active,7571256721,Male,1990-05-20,
Mahesh Mehta,MP-BPL-2010-929916,Bagsewaniya,Bagsewaniya Police Station,"973/728, Bhakti Road, Bagsewaniya, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2020-06-29,2030-06-27,Active,8690217741,Male,1956-10-30,
Rohit Sharma,MP-BPL-2011-246210,Vidya Nagar,Vidya Nagar Police Station,"960/776, Lakshmi Nagar, Vidya Nagar, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2018-09-05,2028-09-02,Active,+919707760429,Male,1987-04-09,
Deepak Pandey,MP-BPL-2015-622987,TT Nagar,TT Nagar Police Station,"510, Vikas Zila, TT Nagar, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2012-11-16,2022-11-14,Expired,7395004797,Male,1980-12-20,Due to festival
Sunil Chauhan,MP-BPL-2012-407706,Bawadiya Kalan,Bawadiya Kalan Police Station,"850, Tagore Circle, Bawadiya Kalan, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2019-04-02,2029-03-30,Active,7500618489,Male,1966-07-16,
Garima Kapoor,MP-BPL-2023-702059,TT Nagar,TT Nagar Police Station,"H.No. 256/725, Patel Road, TT Nagar, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2015-11-27,2025-11-24,Active,+918998094976,Female,1996-05-11,
Rohit Desai,MP-BPL-2019-246298,Ayodhya Nagar,Ayodhya Nagar Police Station,"812, Bhakti Colony, Ayodhya Nagar, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2019-07-22,2029-07-19,Submitted,+919188081904,Male,1988-06-29,Due to festival
Tarun Shah,MP-BPL-2025-883826,Bawadiya Kalan,Bawadiya Kalan Police Station,"820/226, Kranti Chowk, Bawadiya Kalan, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2025-04-23,2035-04-21,Revoked,9706562729,Male,2003-03-20,Due to election
Ratan Mehra,MP-BPL-2018-238193,Shyamla Hills,Shyamla Hills Police Station,"H.No. 897, Azad Path, Shyamla Hills, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2018-02-07,2028-02-05,Active,6789320649,Male,1995-08-07,
Sahil Khanna,MP-BPL-2017-799107,Jahangirabad,Jahangirabad Police Station,"480/933, Kranti Nagar, Jahangirabad, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2017-02-27,2027-02-25,Submitted,+919529883220,Male,1959-04-30,Due to festival
Sahil Arora,MP-BPL-2018-953536,Hoshangabad Road,Hoshangabad Road Police Station,"541/321, Durga Zila, Hoshangabad Road, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2018-12-29,2028-12-26,Revoked,7812356798,Male,2000-12-17,Due to order
Mahesh Verma,MP-BPL-2012-972970,Shahpura,Shahpura Police Station,"490/2, Gandhi Zila, Shahpura, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2012-12-07,2022-12-05,Submitted,9966101683,Male,1965-11-25,Due to festival
Rahul Patel,MP-BPL-2017-841320,Arera Colony,Arera Colony Police Station,"195, Shanti Zila, Arera Colony, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2020-05-17,2030-05-15,Active,+919086199314,Male,1986-08-29,
